index,sentence,true_tags,predicted_tags,true_entities,predicted_entities
786,she declined to give her view of mr ki ##lr ##oy - silk at this point .,O O O O O O O O O O O O O O O O O,O O O O O O O O B-POLITICIAN I-POLITICIAN I-POLITICIAN I-POLITICIAN I-POLITICIAN O O O O,[],"[('POLITICIAN', 8, 12)]"
790,uk ##ip leader roger kn ##ap ##man says he is glad to see the back of mr ki ##lr ##oy - silk .,O O O B-POLITICIAN I-POLITICIAN I-POLITICIAN I-POLITICIAN O O O O O O O O O O O O O O O O,O O O B-POLITICIAN I-POLITICIAN I-POLITICIAN I-POLITICIAN O O O O O O O O O O B-POLITICIAN I-POLITICIAN I-POLITICIAN I-POLITICIAN I-POLITICIAN O,"[('POLITICIAN', 3, 6)]","[('POLITICIAN', 3, 6), ('POLITICIAN', 17, 21)]"
792,"mr ki ##lr ##oy - silk was joined in the new venture by one of uk ##ip ' s two london assembly members , damien hoc ##kney , who is now ve ##rita ##s ' deputy leader .",O O O O O O O O O O O O O O O O O O O O O O O O B-POLITICIAN I-POLITICIAN I-POLITICIAN O O O O O O O O O O O,O B-POLITICIAN I-POLITICIAN I-POLITICIAN I-POLITICIAN I-POLITICIAN O O O O O O O O O O O O O O O O O O B-POLITICIAN I-POLITICIAN I-POLITICIAN O O O O O O O O O O O,"[('POLITICIAN', 24, 26)]","[('POLITICIAN', 1, 5), ('POLITICIAN', 24, 26)]"
793,uk ##ip ' s chairman pet ##rina holds ##worth has said the group will just be a parody of the party the men have left .,O O O O O B-PUBLIC-FIGURE I-PUBLIC-FIGURE I-PUBLIC-FIGURE I-PUBLIC-FIGURE O O O O O O O O O O O O O O O O O,O O O O O B-POLITICIAN I-POLITICIAN I-POLITICIAN I-POLITICIAN O O O O O O O O O O O O O O O O O,"[('PUBLIC-FIGURE', 5, 8)]","[('POLITICIAN', 5, 8)]"
794,mr ki ##lr ##oy - silk quit uk ##ip last week after months of tension as he vie ##d unsuccessfully for the leadership of that party .,O O O O O O O O O O O O O O O O O O O O O O O O O O O,O B-POLITICIAN I-POLITICIAN I-POLITICIAN I-POLITICIAN I-POLITICIAN O O O O O O O O O O O O O O O O O O O O O,[],"[('POLITICIAN', 1, 5)]"
796,"uk ##ip ' s leader , roger kn ##ap ##man , has said he is glad to see the back of mr ki ##lr ##oy - silk . """,O O O O O O B-POLITICIAN I-POLITICIAN I-POLITICIAN I-POLITICIAN O O O O O O O O O O O O O O O O O O O,O O O O O O B-POLITICIAN I-POLITICIAN I-POLITICIAN I-POLITICIAN O O O O O O O O O O O O B-POLITICIAN I-POLITICIAN I-POLITICIAN I-POLITICIAN I-POLITICIAN O O,"[('POLITICIAN', 6, 9)]","[('POLITICIAN', 6, 9), ('POLITICIAN', 22, 26)]"
798,"uk ##ip officials also argue mr ki ##lr ##oy - silk has not been "" straightforward "" in attacking the party he once wanted to lead .",O O O O O O O O O O O O O O O O O O O O O O O O O O O,O O O O O O B-POLITICIAN I-POLITICIAN I-POLITICIAN I-POLITICIAN I-POLITICIAN O O O O O O O O O O O O O O O O,[],"[('POLITICIAN', 6, 10)]"
817,tim hen ##man ' s decision to quit davis cup tennis has left the british team with a ga ##rgan ##tua ##n void to fill .,B-ATHLETE I-ATHLETE I-ATHLETE O O O O O O O O O O O O O O O O O O O O O O O,B-ATHLETE I-ATHLETE I-ATHLETE I-ATHLETE I-ATHLETE O O O O O O O O O O O O O O O O O O O O O,"[('ATHLETE', 0, 2)]","[('ATHLETE', 0, 4)]"
819,and great britain ' s last davis cup win without hen ##man came against slovenia as far back as 1996 .,O O O O O O O O O O O O O O O O O O O O O,O O O O O O O O O O B-ATHLETE I-ATHLETE O O O O O O O O O,[],"[('ATHLETE', 10, 11)]"
820,"worse could follow , according to former british team member chris bailey .",O O O O O O O O O O B-ATHLETE I-ATHLETE O,O O O O O O O O O O B-PUBLIC-FIGURE I-PUBLIC-FIGURE O,"[('ATHLETE', 10, 11)]","[('PUBLIC-FIGURE', 10, 11)]"
821,"bailey told bbc sport : "" after tim ' s announcement , i doubt greg ruse ##ds ##ki will be that far behind him . """,O O O O O O O O O O O O O O B-ATHLETE I-ATHLETE I-ATHLETE I-ATHLETE O O O O O O O O,B-PUBLIC-FIGURE O O O O O O B-ATHLETE O O O O O O B-ATHLETE I-ATHLETE I-ATHLETE I-ATHLETE O O O O O O O O,"[('ATHLETE', 14, 17)]","[('PUBLIC-FIGURE', 0, 0), ('ATHLETE', 7, 7), ('ATHLETE', 14, 17)]"
824,"the yugoslavia ##n - born bog ##dan ##ovic , though , is 184 places below hen ##man in the world rankings and has played just two cup ties - winning one and losing the other .",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O,O O O O O B-ATHLETE I-ATHLETE I-ATHLETE O O O O O O O B-ATHLETE I-ATHLETE O O O O O O O O O O O O O O O O O O O,[],"[('ATHLETE', 5, 7), ('ATHLETE', 15, 16)]"
825,"murray , on the other hand , is 407 ##th in the current atp entry list and yet to make his cup debut .",O O O O O O O O O O O O O O O O O O O O O O O O,B-ATHLETE O O O O O O O O O O O O O O O O O O O O O O O,[],"[('ATHLETE', 0, 0)]"
826,but bailey does see some hope for the future .,O O O O O O O O O O,O B-PUBLIC-FIGURE O O O O O O O O,[],"[('PUBLIC-FIGURE', 1, 1)]"
828,"britain ' s next opponents , israel , are hardly likely to be qu ##aking in their boots ahead of the 4 - 6 march match against a likely trio of bog ##dan ##ovic , murray and the 187 ##th - ranked ar ##vin ##d parma ##r .",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-ATHLETE I-ATHLETE I-ATHLETE I-ATHLETE I-ATHLETE O,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-ATHLETE I-ATHLETE I-ATHLETE O B-ATHLETE O O O O O O O O O B-ATHLETE I-ATHLETE O,"[('ATHLETE', 42, 46)]","[('ATHLETE', 31, 33), ('ATHLETE', 35, 35), ('ATHLETE', 45, 46)]"
829,"bailey said : "" it will be tough for gb to move up , but there comes a time when our young players have to step up .",O O O O O O O O O O O O O O O O O O O O O O O O O O O O,B-PUBLIC-FIGURE O O O O O O O O O O O O O O O O O O O O O O O O O O O,[],"[('PUBLIC-FIGURE', 0, 0)]"
830,"this was always going to be inevitable with tim and greg ' s growing years . """,O O O O O O O O O O O O O O O O O,O O O O O O O O B-PUBLIC-FIGURE O B-PUBLIC-FIGURE O O O O O O,[],"[('PUBLIC-FIGURE', 8, 8), ('PUBLIC-FIGURE', 10, 10)]"
833,"of those lining up to replace hen ##man , the 17 - year - old murray , with four futures titles under his belt last year , looks the best long - term bet . """,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O,O O O O O O B-ATHLETE I-ATHLETE O O O O O O O B-ATHLETE O O O O O O O O O O O O O O O O O O O O,[],"[('ATHLETE', 6, 7), ('ATHLETE', 15, 15)]"
834,"murray is the one that looks like ##liest to take over tim ' s mantle , "" said bailey . """,O O O O O O O O O O O O O O O O O O O O O,B-ATHLETE O O O O O O O O O O B-ATHLETE O O O O O O B-BUSINESS-EXECUTIVE-MANAGER O O,[],"[('ATHLETE', 0, 0), ('ATHLETE', 11, 11), ('BUSINESS-EXECUTIVE-MANAGER', 18, 18)]"
836,"bog ##dan ##ovic , three years murray ' s senior , has had a more troubled time under britain ' s davis cup umbrella .",O O O O O O O O O O O O O O O O O O O O O O O O O,B-ATHLETE I-ATHLETE I-ATHLETE O O O B-ATHLETE O O O O O O O O O O O O O O O O O O,[],"[('ATHLETE', 0, 2), ('ATHLETE', 6, 6)]"
837,"while murray has been marked out as britain ' s golden boy , bog ##dan ##ovic was warned by the lawn tennis association for a lack of drive at the end of 2003 .",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O,O B-ATHLETE O O O O O O O O O O O B-ATHLETE I-ATHLETE I-ATHLETE O O O O O O O O O O O O O O O O O O,[],"[('ATHLETE', 1, 1), ('ATHLETE', 13, 15)]"
838,"and bailey said : "" despite that , alex is clearly talented as well , while ar ##vin ##d is another contender . """,O O O O O O O O O O O O O O O O O O O O O O O O,O B-PUBLIC-FIGURE O O O O O O B-ATHLETE O O O O O O O B-ATHLETE I-ATHLETE I-ATHLETE O O O O O,[],"[('PUBLIC-FIGURE', 1, 1), ('ATHLETE', 8, 8), ('ATHLETE', 16, 18)]"
843,howard and blair tax pledge clash tony blair has said voters will have to wait for labour ' s manifesto to see if the party has plans to increase tax .,O O O O O O B-POLITICIAN I-POLITICIAN O O O O O O O O O O O O O O O O O O O O O O O,B-POLITICIAN O B-POLITICIAN O O O B-POLITICIAN I-POLITICIAN O O O O O O O O O O O O O O O O O O O O O O O,"[('POLITICIAN', 6, 7)]","[('POLITICIAN', 0, 0), ('POLITICIAN', 2, 2), ('POLITICIAN', 6, 7)]"
845,"mr blair der ##ided tory claims they could cut £3 ##5 ##bn in "" waste ##ful spending "" saying the party had got its sums wrong .",O O O O O O O O O O O O O O O O O O O O O O O O O O O,O B-POLITICIAN O O O O O O O O O O O O O O O O O O O O O O O O O,[],"[('POLITICIAN', 1, 1)]"
847,"mr howard told mps that "" every independent expert "" from the international monetary fund to the institute of fiscal studies had suggested the "" government was spending more than it is raising and a labour chancellor would have to put up taxes "" .",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O,O B-POLITICIAN O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O,[],"[('POLITICIAN', 1, 1)]"
848,"mr blair replied : "" i think they are wrong for this very simple reason : that the treasury forecast ##s on the economy have been proven right . """,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O,O B-POLITICIAN O O O O O O O O O O O O O O O O O O O O O O O O O O O O,[],"[('POLITICIAN', 1, 1)]"
852,but mr howard said voters faced a clear choice at the next election between more waste and more tax under labour and tory value for money and lower taxes .,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O,O O B-POLITICIAN O O O O O O O O O O O O O O O O O O O O O O O O O O O,[],"[('POLITICIAN', 2, 2)]"
854,"labour hit back at the tory proposals even before their publication with election coordinator alan mil ##burn accusing mr howard of producing a "" fraudulent prospect ##us "" .",O O O O O O O O O O O O O O B-POLITICIAN I-POLITICIAN I-POLITICIAN O O O O O O O O O O O O,O O O O O O O O O O O O O O B-POLITICIAN I-POLITICIAN I-POLITICIAN O O B-POLITICIAN O O O O O O O O O,"[('POLITICIAN', 14, 16)]","[('POLITICIAN', 14, 16), ('POLITICIAN', 19, 19)]"
855,parry re ##lish ##es an ##field challenge bbc sport reflects on the future for liverpool after our exclusive interview with chief executive rick parry .,O O O O O O O O O O O O O O O O O O O O O O B-BUSINESS-EXECUTIVE-MANAGER I-BUSINESS-EXECUTIVE-MANAGER O,B-PUBLIC-FIGURE O O O O O O O O O O O O O O O O O O O O O B-BUSINESS-EXECUTIVE-MANAGER I-BUSINESS-EXECUTIVE-MANAGER O,"[('BUSINESS-EXECUTIVE-MANAGER', 22, 23)]","[('PUBLIC-FIGURE', 0, 0), ('BUSINESS-EXECUTIVE-MANAGER', 22, 23)]"
856,chief executive parry is the man at the helm as liverpool reach the most crucial point in their recent history .,O O O O O O O O O O O O O O O O O O O O O,O O B-BUSINESS-EXECUTIVE-MANAGER O O O O O O O O O O O O O O O O O O,[],"[('BUSINESS-EXECUTIVE-MANAGER', 2, 2)]"
857,"parry has to deliver a new 60 , 000 - seat stadium in stanley park by 2007 amid claims of costs spiral ##ling above £1 ##20 ##m . he is also searching for an investment package of a size and stature that will restore liverpool to their place at european football ' s top table .",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O,B-PUBLIC-FIGURE O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O,[],"[('PUBLIC-FIGURE', 0, 0)]"
858,"but it is a challenge that appears to sit easily with parry , who has forged a reputation as one of football ' s most respected administrators since his days at the fledgling premier league .",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O,O O O O O O O O O O O B-PUBLIC-FIGURE O O O O O O O O O O O O O O O O O O O O O O O O,[],"[('PUBLIC-FIGURE', 11, 11)]"
860,"throw in the small matter of ward ##ing off every top club in world football as they eye captain steven ge ##rrard , and you can see parry is a man with a lot on his plate .",O O O O O O O O O O O O O O O O O O O B-ATHLETE I-ATHLETE I-ATHLETE O O O O O O O O O O O O O O O O,O O O O O O O O O O O O O O O O O O O B-ATHLETE I-ATHLETE I-ATHLETE O O O O O B-PUBLIC-FIGURE O O O O O O O O O O,"[('ATHLETE', 19, 21)]","[('ATHLETE', 19, 21), ('PUBLIC-FIGURE', 27, 27)]"
861,but in the comfort of a conference room deep inside liverpool ' s heartbeat - the ko ##p end - parry spoke to us with brutal honesty about the crucial months ahead .,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O,O O O O O O O O O O O O O O O O O O O O B-PUBLIC-FIGURE O O O O O O O O O O O O,[],"[('PUBLIC-FIGURE', 20, 20)]"
864,"by business he means becoming title challenger ##s again , and locking the pieces together that will help return the trophy to liverpool is parry ' s mission .",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O,O O O O O O O O O O O O O O O O O O O O O O O O B-PUBLIC-FIGURE O O O O,[],"[('PUBLIC-FIGURE', 24, 24)]"
865,parry has already successfully put one of those plank ##s in place in the form of new manager rafael ben ##ite ##z .,O O O O O O O O O O O O O O O O O O B-ATHLETE I-ATHLETE I-ATHLETE I-ATHLETE O,B-PUBLIC-FIGURE O O O O O O O O O O O O O O O O O B-BUSINESS-EXECUTIVE-MANAGER I-BUSINESS-EXECUTIVE-MANAGER I-BUSINESS-EXECUTIVE-MANAGER I-BUSINESS-EXECUTIVE-MANAGER O,"[('ATHLETE', 18, 21)]","[('PUBLIC-FIGURE', 0, 0), ('BUSINESS-EXECUTIVE-MANAGER', 18, 21)]"
867,ben ##ite ##z ' s early work has given parry renewed optimism about the years ahead .,O O O O O O O O O O O O O O O O O,B-BUSINESS-EXECUTIVE-MANAGER I-BUSINESS-EXECUTIVE-MANAGER I-BUSINESS-EXECUTIVE-MANAGER O O O O O O B-PUBLIC-FIGURE O O O O O O O,[],"[('BUSINESS-EXECUTIVE-MANAGER', 0, 2), ('PUBLIC-FIGURE', 9, 9)]"
869,"this will not come as news to parry , a lifelong liverpool supporter , but his quiet determination suggests he is no mood to be found wanting . . . captain ge ##rrard is central to liverpool ' s plans and parry ' s insistence that all offers will be refused is a firm statement of intent .",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O,O O O O O O O B-PUBLIC-FIGURE O O O O O O O O O O O O O O O O O O O O O O O B-ATHLETE I-ATHLETE O O O O O O O O B-PUBLIC-FIGURE O O O O O O O O O O O O O O O O,[],"[('PUBLIC-FIGURE', 7, 7), ('ATHLETE', 31, 32), ('PUBLIC-FIGURE', 41, 41)]"
870,"as ever , the player will have the final say , and parry acknowledges that , but he is determined to provide the framework and environment for liverpool and ge ##rrard to flourish .",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O,O O O O O O O O O O O O B-PUBLIC-FIGURE O O O O O O O O O O O O O O O O B-ATHLETE I-ATHLETE O O O,[],"[('PUBLIC-FIGURE', 12, 12), ('ATHLETE', 29, 30)]"
871,"in terms of the search for new investment , hawk ##point were appointed as advisors to flush out interest in march 2004 .",O O O O O O O O O O O O O O O O O O O O O O O,O O O O O O O O O B-BUSINESS-EXECUTIVE-MANAGER I-BUSINESS-EXECUTIVE-MANAGER O O O O O O O O O O O O,[],"[('BUSINESS-EXECUTIVE-MANAGER', 9, 10)]"
872,"thailand prime minister tha ##ks ##in shin ##i ##wat ##ra came and went , while the most serious statement of intent came from ty ##co ##on and lifelong fan steve morgan .",O O O B-POLITICIAN I-POLITICIAN I-POLITICIAN I-POLITICIAN I-POLITICIAN I-POLITICIAN I-POLITICIAN O O O O O O O O O O O O O O O O O O O B-BUSINESS-EXECUTIVE-MANAGER I-BUSINESS-EXECUTIVE-MANAGER O,O O O B-POLITICIAN I-POLITICIAN I-POLITICIAN I-POLITICIAN I-POLITICIAN I-POLITICIAN I-POLITICIAN O O O O O O O O O O O O O O O O O O O B-PUBLIC-FIGURE I-PUBLIC-FIGURE O,"[('POLITICIAN', 3, 9), ('BUSINESS-EXECUTIVE-MANAGER', 29, 30)]","[('POLITICIAN', 3, 9), ('PUBLIC-FIGURE', 29, 30)]"
873,"morgan had a succession of bids rejected , having come close in the summer only for talks to break down over potential costs for the new stadium .",O O O O O O O O O O O O O O O O O O O O O O O O O O O O,B-BUSINESS-EXECUTIVE-MANAGER O O O O O O O O O O O O O O O O O O O O O O O O O O O,[],"[('BUSINESS-EXECUTIVE-MANAGER', 0, 0)]"
874,"bbc sport understands morgan is still ready and willing to invest in liverpool , and parry has kept the door aj ##ar despite currently seeking investment elsewhere .",O O O O O O O O O O O O O O O O O O O O O O O O O O O O,O O O B-BUSINESS-EXECUTIVE-MANAGER O O O O O O O O O O O B-PUBLIC-FIGURE O O O O O O O O O O O O,[],"[('BUSINESS-EXECUTIVE-MANAGER', 3, 3), ('PUBLIC-FIGURE', 15, 15)]"
875,"morgan , however , has had no formal contact with liverpool or their advisors since last december , blaming ind ##ec ##ision at board level as he publicly withdrew his £ ##70 ##m offer .",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O,B-BUSINESS-EXECUTIVE-MANAGER O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O,[],"[('BUSINESS-EXECUTIVE-MANAGER', 0, 0)]"
877,morgan will certainly not be making another call .,O O O O O O O O O,B-BUSINESS-EXECUTIVE-MANAGER O O O O O O O O,[],"[('BUSINESS-EXECUTIVE-MANAGER', 0, 0)]"
879,"parry meanwhile sees the new ground as crucial to liverpool ' s future , but is refusing to become emotionally attached to the idea .",O O O O O O O O O O O O O O O O O O O O O O O O O,B-PUBLIC-FIGURE O O O O O O O O O O O O O O O O O O O O O O O O,[],"[('PUBLIC-FIGURE', 0, 0)]"
881,"parry will pull back the moment the figures do not stack up , but there has been a vital new development in north london that has re - shaped liverpool ' s thinking .",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O,B-PUBLIC-FIGURE O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O,[],"[('PUBLIC-FIGURE', 0, 0)]"
883,"parry labelled the deal "" an eye - opener "" and admits liverpool would be missing a trick not to explore the possibilities .",O O O O O O O O O O O O O O O O O O O O O O O O,B-PUBLIC-FIGURE O O O O O O O O O O O O O O O O O O O O O O O,[],"[('PUBLIC-FIGURE', 0, 0)]"
887,£5 ##0 ##m for ge ##rrard ?,O O O O O O O,O O O O B-ATHLETE I-ATHLETE O,[],"[('ATHLETE', 4, 5)]"
889,"we cannot let that sum of money go , despite ge ##rrard ' s quality .",O O O O O O O O O O O O O O O O,O O O O O O O O O O B-ATHLETE I-ATHLETE O O O O,[],"[('ATHLETE', 10, 11)]"
890,"through a clever ##ly word ##ed statement , the club has effectively forced ge ##rrard to publicly make the decision for himself , which i think is the right thing to do .",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O,O O O O O O O O O O O O O B-ATHLETE I-ATHLETE O O O O O O O O O O O O O O O O O O,[],"[('ATHLETE', 13, 14)]"
891,critical time for liverpool with regards to ge ##rrard .,O O O O O O O O O O,O O O O O O O B-ATHLETE I-ATHLETE O,[],"[('ATHLETE', 7, 8)]"
894,"£5 ##0 ##m realistic ##ally would allow raf ##a to completely rebuild the squad , however , if we can afford to do this and keep ge ##rrard we will be better for it .",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O,O O O O O O O B-PUBLIC-FIGURE I-PUBLIC-FIGURE O O O O O O O O O O O O O O O O O B-ATHLETE I-ATHLETE O O O O O O O,[],"[('PUBLIC-FIGURE', 7, 8), ('ATHLETE', 26, 27)]"
895,i would however be happy with ge ##rrard ' s transfer for any fee over £3 ##5 ##m . parry ' s statements are clever in that any future ge ##rrard transfer cannot be con ##st ##rued as a lack of ambition by the club to not try and keep their best players .,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O,O O O O O O B-ATHLETE I-ATHLETE O O O O O O O O O O O B-PUBLIC-FIGURE O O O O O O O O O B-ATHLETE I-ATHLETE O O O O O O O O O O O O O O O O O O O O O O O,[],"[('ATHLETE', 6, 7), ('PUBLIC-FIGURE', 19, 19), ('ATHLETE', 29, 30)]"
896,up ##ping the ant ##e is another smart move by parry .,O O O O O O O O O O O O,O O O O O O O O O O B-PUBLIC-FIGURE O,[],"[('PUBLIC-FIGURE', 10, 10)]"
897,i would keep ge ##rrard .,O O O O O O,O O O B-ATHLETE I-ATHLETE O,[],"[('ATHLETE', 3, 4)]"
899,the key is if ge ##rrard comes out and says that he is happy .,O O O O O O O O O O O O O O O,O O O O B-ATHLETE I-ATHLETE O O O O O O O O O,[],"[('ATHLETE', 4, 5)]"
905,"video games are "" big business "" , the paper quoted mr cher ##nin as saying .",O O O O O O O O O O O O O O O O O,O O O O O O O O O O O O B-BUSINESS-EXECUTIVE-MANAGER I-BUSINESS-EXECUTIVE-MANAGER O O O,[],"[('BUSINESS-EXECUTIVE-MANAGER', 12, 13)]"
908,"the days of arcade classics such as space invaders , pac - man and donkey kong are long gone .",O O O O O O O O O O O O O O O O O O O O,O O O O O O O O O O B-MUSICIAN I-MUSICIAN I-MUSICIAN O O O O O O O,[],"[('MUSICIAN', 10, 12)]"
911,"mr cher ##nin , however , told the ft that news corp was finding it difficult to identify a suitable target . """,O O O O O O O O O O O O O O O O O O O O O O O,O B-BUSINESS-EXECUTIVE-MANAGER I-BUSINESS-EXECUTIVE-MANAGER O O O O O O O O O O O O O O O O O O O O,[],"[('BUSINESS-EXECUTIVE-MANAGER', 1, 2)]"
914,"blu ##nk ##ett sorry over murder plan david blu ##nk ##ett has ap ##olo ##gis ##ed to mps after the home office announced "" prematurely "" via press release a review of murder laws .",O O O O O O O B-POLITICIAN I-POLITICIAN I-POLITICIAN I-POLITICIAN O O O O O O O O O O O O O O O O O O O O O O O O,B-POLITICIAN I-POLITICIAN I-POLITICIAN O O O O B-POLITICIAN I-POLITICIAN I-POLITICIAN I-POLITICIAN O O O O O O O O O O O O O O O O O O O O O O O O,"[('POLITICIAN', 7, 10)]","[('POLITICIAN', 0, 2), ('POLITICIAN', 7, 10)]"
919,news of the review was released because it was thought mr blu ##nk ##ett would make the official announcement in a commons debate on wednesday .,O O O O O O O O O O O O O O O O O O O O O O O O O O,O O O O O O O O O O O B-POLITICIAN I-POLITICIAN I-POLITICIAN O O O O O O O O O O O O,[],"[('POLITICIAN', 11, 13)]"
921,"amid opposition anger , mr blu ##nk ##ett had to answer an emergency question in parliament on thursday .",O O O O O O O O O O O O O O O O O O O,O O O O O B-POLITICIAN I-POLITICIAN I-POLITICIAN O O O O O O O O O O O,[],"[('POLITICIAN', 5, 7)]"
933,"but speaking after the report was published , home office minister baroness scotland said : "" murder is the most serious of crimes and we have no intention of ab ##olis ##hing the mandatory life sentence . """,O O O O O O O O O O O B-POLITICIAN I-POLITICIAN O O O O O O O O O O O O O O O O O O O O O O O O O,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O,"[('POLITICIAN', 11, 12)]",[]
948,"mr baker , the li ##b dem environment spokesman , said : "" i have been warning for months that this would happen and raised it with government several times .",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O,O B-POLITICIAN O O O O O O O O O O O O O O O O O O O O O O O O O O O O O,[],"[('POLITICIAN', 1, 1)]"
965,"the data is favourable , but a lot of jobs are temporary for the ( christmas ) holiday season , so we may see slightly higher job ##lessness in january and february , "" julio he ##ged ##us , chief economist with lo ##pes fi ##lho & associates consultancy in rio de jane ##ir , told reuters news agency .",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-PUBLIC-FIGURE I-PUBLIC-FIGURE I-PUBLIC-FIGURE I-PUBLIC-FIGURE O O O O O O O O O O O O O O O O O O O O O O,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-BUSINESS-EXECUTIVE-MANAGER I-BUSINESS-EXECUTIVE-MANAGER I-BUSINESS-EXECUTIVE-MANAGER I-BUSINESS-EXECUTIVE-MANAGER O O O O O O O O O O O O O O O O O O O O O O,"[('PUBLIC-FIGURE', 34, 37)]","[('BUSINESS-EXECUTIVE-MANAGER', 34, 37)]"
981,"it is the sort of move you would expect from walter , who is a can ##ny manager .",O O O O O O O O O O O O O O O O O O O,O O O O O O O O O O B-ATHLETE O O O O O O O O,[],"[('ATHLETE', 10, 10)]"
984,"john to ##sha ##ck has his first game in charge of wales , and it will be important for him to get a decent result against hungary .",B-ATHLETE I-ATHLETE I-ATHLETE I-ATHLETE O O O O O O O O O O O O O O O O O O O O O O O O,B-PUBLIC-FIGURE I-PUBLIC-FIGURE I-PUBLIC-FIGURE O O O O O O O O O O O O O O O O O O O O O O O O O,"[('ATHLETE', 0, 3)]","[('PUBLIC-FIGURE', 0, 2)]"
990,but you have got to remember sven - goran erik ##sson ' s side were given a lesson by spain in the last game they played .,O O O O O O B-ATHLETE I-ATHLETE I-ATHLETE I-ATHLETE I-ATHLETE O O O O O O O O O O O O O O O O,O O O O O O B-ATHLETE I-ATHLETE I-ATHLETE I-ATHLETE I-ATHLETE I-ATHLETE I-ATHLETE O O O O O O O O O O O O O O,"[('ATHLETE', 6, 10)]","[('ATHLETE', 6, 12)]"
996,"nike , whose products are endorsed by tiger woods among other sports stars , said "" demand continues to grow "" .",O O O O O O O B-ATHLETE I-ATHLETE O O O O O O O O O O O O O,O O O O O O O O O O O O O O O O O O O O O O,"[('ATHLETE', 7, 8)]",[]
1008,"it ' s about real people saying real things and communicating , "" says adam curry , former mtv v ##j and the pie ##d piper of podcast ##ing .",O O O O O O O O O O O O O O B-BUSINESS-EXECUTIVE-MANAGER I-BUSINESS-EXECUTIVE-MANAGER O O O O O O O O O O O O O O,O O O O O O O O O O O O O O B-PUBLIC-FIGURE I-PUBLIC-FIGURE O O O O O O O O O O O O O O,"[('BUSINESS-EXECUTIVE-MANAGER', 14, 15)]","[('PUBLIC-FIGURE', 14, 15)]"
1013,"it is totally going to kill the business model of radio , "" thinks curry . """,O O O O O O O O O O O O O O O O O,O O O O O O O O O O O O O O B-PUBLIC-FIGURE O O,[],"[('PUBLIC-FIGURE', 14, 14)]"
1027,curry ' s daily source code - which he committed to doing daily to inspire the community - has 10 ##s of thousands of listeners .,O O O O O O O O O O O O O O O O O O O O O O O O O O,B-PUBLIC-FIGURE O O O O O O O O O O O O O O O O O O O O O O O O O,[],"[('PUBLIC-FIGURE', 0, 0)]"
1028,but dave wine ##r is doubtful .,O B-AUTHOR-WRITER I-AUTHOR-WRITER I-AUTHOR-WRITER O O O,O B-MUSICIAN I-MUSICIAN I-MUSICIAN O O O,"[('AUTHOR-WRITER', 1, 3)]","[('MUSICIAN', 1, 3)]"
1038,"curry and associate ron bloom ' s new venture , called pods ##how , is to help ordinary people produce , post , distribute and market their podcast ##s .",O O O B-BUSINESS-EXECUTIVE-MANAGER I-BUSINESS-EXECUTIVE-MANAGER O O O O O O O O O O O O O O O O O O O O O O O O O,B-PUBLIC-FIGURE O O B-PUBLIC-FIGURE I-PUBLIC-FIGURE O O O O O O O O O O O O O O O O O O O O O O O O O,"[('BUSINESS-EXECUTIVE-MANAGER', 3, 4)]","[('PUBLIC-FIGURE', 0, 0), ('PUBLIC-FIGURE', 3, 4)]"
1042,"they have decided to sub ##scribe to your program , "" explains curry .",O O O O O O O O O O O O O O,O O O O O O O O O O O O B-PUBLIC-FIGURE O,[],"[('PUBLIC-FIGURE', 12, 12)]"
