sentence,ner_entities
"But Louise Christian, the lawyer representing Mr Abbasi and Mr Mubanga, said the families would be reunited with the men away from the station.","[{""text"": ""louise christian"", ""label"": ""PUBLIC-FIGURE""}]"
"Gareth Peirce, lawyer for Mr Begg, said she was shocked at the condition of the men and appalled that the authorities felt the need to detain them.","[{""text"": ""gareth peirce"", ""label"": ""PUBLIC-FIGURE""}]"
"G Money, a presenter on the BBC's urban music station 1Xtra, thinks a hiatus is inevitable after such a sustained period of exposure - giving the band time to think about other interests. ""","[{""text"": ""g money"", ""label"": ""AUTHOR-WRITER""}]"
"Davis, whose 65-year career included credits as a producer, director, actor and writer for stage and screen, was also a civil rights activist.","[{""text"": ""davis"", ""label"": ""ACTOR-DIRECTOR""}]"
"Ring of Fire hit co-writer dies

Merle Kilgore, co-writer of the country hit Ring of Fire, has died of congestive heart failure aged 70.","[{""text"": ""merle kilgore"", ""label"": ""AUTHOR-WRITER""}]"
"According to the Financial Times' China correspondent, the new rules highlight the political sensitivities that surround foreign involvement in China's media sector.","[{""text"": ""financial times' china correspondent"", ""label"": ""AUTHOR-WRITER""}]"
"On Tuesday, the company's administrator, turnaround expert Enrico Bondi, sued Morgan Stanley, its former banker, to return 136m euros relating to a 2003 bond deal.","[{""text"": ""enrico bondi"", ""label"": ""BUSINESS-EXECUTIVE-MANAGER""}]"
"Rob Fahey, editor of online news site gamesindustry.biz, said the mass banning showed off the power of the Steam system.","[{""text"": ""rob fahey"", ""label"": ""AUTHOR-WRITER""}]"
The Attorney General Lord Goldsmith will receive a letter of resignation from Mr MacDonald on Monday.,"[{""text"": ""lord goldsmith"", ""label"": ""PUBLIC-FIGURE""}]"
"Helena Kennedy, a Labour peer and a human rights lawyer, said the Special Advocates' main concern was that once they had seen any special intelligence they were not allowed to speak to the detainees. ""","[{""text"": ""helena kennedy"", ""label"": ""PUBLIC-FIGURE""}]"
"The book by Sunday Telegraph journalist Robert Peston said the pair had ""mutual animosity and contempt"" for each other.","[{""text"": ""robert peston"", ""label"": ""AUTHOR-WRITER""}]"
"Carol Walker, BBC News 24 political correspondent, added: ""There is a real concern that this could undermine the general election campaign. ""","[{""text"": ""carol walker"", ""label"": ""AUTHOR-WRITER""}]"
"Dan Jolin, reviews editor of Empire magazine, says classic children's TV shows have a built-in audience that make them ideal for reinvention.","[{""text"": ""dan jolin"", ""label"": ""AUTHOR-WRITER""}]"
"With only 13 episodes made of the 1974 series, there is plenty of room to explore the lives of the pink cat, Professor Yaffle and the Mice of the Marvellous Mechanical Mouse Organ.","[{""text"": ""professor yaffle"", ""label"": ""PUBLIC-FIGURE""}]"
"Cell could also be marketed as an ideal technology for televisions and supercomputers, and everything in between, said Kevin Krewell, the editor in chief of Microprocessor Report.","[{""text"": ""kevin krewell"", ""label"": ""AUTHOR-WRITER""}]"
"Few games have hinted at the scope of Spore, but Mr Wright explained that he has nevertheless kept his development team small by hiring expert programmers.","[{""text"": ""wright"", ""label"": ""AUTHOR-WRITER""}]"
Owain Bennallack is the editor of Develop magazine.,"[{""text"": ""owain bennallack"", ""label"": ""AUTHOR-WRITER""}]"
"Mr Sigarchi's lawyer labelled the revolutionary court ""illegal and incompetent"" and called for a retrial in a public court.","[{""text"": ""sigarchi"", ""label"": ""PUBLIC-FIGURE""}]"
"Other stars who turned out on the night included Honor Blackman, Strictly Come Dancing presenter Tess Daly and actress Anita Dobson.","[{""text"": ""honor blackman"", ""label"": ""ACTOR-DIRECTOR""}, {""text"": ""tess daly"", ""label"": ""AUTHOR-WRITER""}, {""text"": ""anita dobson"", ""label"": ""ACTOR-DIRECTOR""}]"
"Twelve months ago high speed internet users made up just over one third of the audience in Europe; now they are more than 50% and we expect this number to keep growing,"" said Gabrielle Prior, Nielsen/NetRatings analyst. ""","[{""text"": ""gabrielle prior"", ""label"": ""PUBLIC-FIGURE""}]"
"Year-on-year we are continuing to see a seismic shift in where, when and how Europe's population consume media for information and entertainment and this has big implications for TV, newspaper and radio,"" said Jupiter Research analyst Olivier Beauvillian.","[{""text"": ""olivier beauvillian"", ""label"": ""PUBLIC-FIGURE""}]"
"The primary factor is the weak dollar,"" said Victor Shum, a Singapore-based analyst with Purvin and Gertz.","[{""text"": ""victor shum"", ""label"": ""PUBLIC-FIGURE""}]"
"BBC political correspondent Mark Mardell said Britishness had long been a theme of the chancellor's but ""never before has he been so outspoken in defending Britain's past history"".","[{""text"": ""mark mardell"", ""label"": ""AUTHOR-WRITER""}]"
"Halloween writer Debra Hill dies

Screenwriter and producer Debra Hill, best known for her work on the 70s horror classic Halloween, has died in Los Angeles aged 54.","[{""text"": ""debra hill"", ""label"": ""AUTHOR-WRITER""}]"
"Downing Street has denied the claims, made in a new book about the Attorney General Lord Goldsmith's advice.","[{""text"": ""lord goldsmith"", ""label"": ""PUBLIC-FIGURE""}]"
"In his new book, Lawless World, Philippe Sands, a QC and international law professor, suggests the parliamentary answer was written in Downing Street.","[{""text"": ""philippe sands"", ""label"": ""AUTHOR-WRITER""}]"
"This would be wrong even if Lord Goldsmith had signed the statement, Mr Cook said, because the attorney general's advice should be an ""independent legal opinion"", not subject to ""political negotiation of this kind"".","[{""text"": ""lord goldsmith"", ""label"": ""PUBLIC-FIGURE""}, {""text"": ""cook"", ""label"": ""POLITICIAN""}]"
"Simon Perry is the editor of the Digital Lifestyles website, which covers the impact of technology on media","[{""text"": ""simon perry"", ""label"": ""AUTHOR-WRITER""}]"
"Black Friday is based upon the novel of the same name written by journalist S Hussain Zaidi, which looks at the 15 explosions which rocked Mumbai on 12 March 1993.","[{""text"": ""s hussain zaidi"", ""label"": ""AUTHOR-WRITER""}]"
Mr Kashyap's lawyer Mihir Desai said.,"[{""text"": ""mihir desai"", ""label"": ""PUBLIC-FIGURE""}]"
"Their lawyer, Majeed Memon, said: ""We had argued that how can a film say it is telling the true story when the court itself is struggling to find the truth? ""","[{""text"": ""majeed memon"", ""label"": ""PUBLIC-FIGURE""}]"
Napier's lawyer Tony Kelly believes the action will soon be followed by others.,"[{""text"": ""tony kelly"", ""label"": ""PUBLIC-FIGURE""}]"
"""The story of the PSP is it's not a gaming device as much as it is a portable entertainment device,"" said Michael Pachter, analyst at Wedbush Morgan Securities.","[{""text"": ""michael pachter"", ""label"": ""PUBLIC-FIGURE""}]"
"Mr Tanzi, 66, issued a statement through his lawyer after five hours of questioning by prosecutors in Parma on 15 January.","[{""text"": ""tanzi"", ""label"": ""BUSINESS-EXECUTIVE-MANAGER""}]"
"Paul Richards, an analyst at Numis Securities, said the market would be focusing on the slump in music sales rather than the timing of the two albums. ""","[{""text"": ""paul richards"", ""label"": ""PUBLIC-FIGURE""}]"
"Dominic Carman - son of late libel lawyer George Carman - was voted through to the final 25, on a platform of cutting defence spending to boost education.","[{""text"": ""dominic carman"", ""label"": ""PUBLIC-FIGURE""}, {""text"": ""george carman"", ""label"": ""PUBLIC-FIGURE""}]"
"The authorities in the US, who have indicted 19 people in Newark, New Jersey, estimate the fraud caused losses of more than $4m. Assistant US Attorney Scott Christie said several people had been arrested in Argentina, Bulgaria, Canada, Estonia, Poland and Sweden.","[{""text"": ""scott christie"", ""label"": ""PUBLIC-FIGURE""}]"
"He's been successful ripping people off all these years,"" AP quoted prosecutor Russell McGuire as saying.","[{""text"": ""russell mcguire"", ""label"": ""PUBLIC-FIGURE""}]"
"Jaynes was also found guilty of breaking a state law which prohibits the sending of more than 100,000 e-mails in 30 days, Virginia State Attorney General Jerry Kilgore reportedly said.","[{""text"": ""jerry kilgore"", ""label"": ""PUBLIC-FIGURE""}]"
"But Jaynes' lawyer David Oblon called the nine-year recommended term ""outrageous"" and said his client believed he was innocent.","[{""text"": ""david oblon"", ""label"": ""PUBLIC-FIGURE""}]"
"Cosby's lawyer, Walter M Phillips Jr, said the comedian was pleased with the decision. ""","[{""text"": ""walter m phillips jr"", ""label"": ""PUBLIC-FIGURE""}]"
"District Attorney Bruce L Castor Jr, who was in charge of the case, said that detectives could find no instance ""where anyone complained to law enforcement of conduct which would constitute a criminal offence.","[{""text"": ""bruce l castor jr"", ""label"": ""PUBLIC-FIGURE""}]"
"The unidentified woman's lawyer, Dolores M Troiani, said her client was likely to sue the comedian. ""","[{""text"": ""dolores m troiani"", ""label"": ""PUBLIC-FIGURE""}]"
