sentence_id,sentence,ner_entities
sport_121.txt_1394,Critical time for Liverpool with regards to Gerrard.,"[{""text"": ""Gerrard"", ""label"": ""ATHLETE""}]"
sport_121.txt_1555,The key is if Gerrard comes out and says that he is happy.,"[{""text"": ""Gerrard"", ""label"": ""ATHLETE""}]"
sport_393.txt_0,Bath faced with Tindall ultimatum,"[{""text"": ""Tindall"", ""label"": ""ATHLETE""}]"
sport_169.txt_101,The former Porto coach was forced to watch the climax of his side's 3-2 victory over Liverpool on television after being ushered away from the touchline by fourth official Phil Crossley.,"[{""text"": ""Phil Crossley"", ""label"": ""PUBLIC-FIGURE""}]"
sport_169.txt_154,Mourinho still faces an FA investigation into his allegation that Manchester United's players 'cheated' during January's Carling Cup semi-final at Stamford Bridge.,"[{""text"": ""Mourinho"", ""label"": ""ATHLETE""}]"
sport_169.txt_184,And Uefa could also launch disciplinary action following Mourinho's failure to attend a compulsory post-match press conference after Chelsea's Champions League defeat at Barcelona last week.,"[{""text"": ""Mourinho"", ""label"": ""ATHLETE""}]"
entertainment_285.txt_222,"Last May, R&B star Usher scored a chart first, with three concurrent singles in the US Top 10, a feat which was previously matched only by The Bee Gees and The Beatles.","[{""text"": ""Usher"", ""label"": ""MUSICIAN""}, {""text"": ""The Bee Gees"", ""label"": ""MUSICIAN""}, {""text"": ""The Beatles"", ""label"": ""MUSICIAN""}]"
entertainment_056.txt_281,The actor was nominated for an Oscar the following year for his role in Bernardo Bertolucci's Last Tango in Paris.,"[{""text"": ""Bernardo Bertolucci"", ""label"": ""ACTOR-DIRECTOR""}]"
sport_220.txt_107,"Curbishley was subjected to criticism from Charlton fans recently, and he said: ""The thing about this club is that we have got where we are by all pulling in the same direction.","[{""text"": ""Curbishley"", ""label"": ""ATHLETE""}]"
business_068.txt_25,"Kamal Nath, Commerce and Industry Minister, announced the decision in Delhi on Thursday following a cabinet meeting.","[{""text"": ""Kamal Nath"", ""label"": ""POLITICIAN""}]"
politics_393.txt_407,"There are details of foreign nationals made British citizens by act of Parliament, including composer George Frideric Handel in 1727.","[{""text"": ""George Frideric Handel"", ""label"": ""MUSICIAN""}]"
entertainment_383.txt_125,Sir Alan's films include Oscar-winning Fame plus Midnight Express and The Commitments.,"[{""text"": ""Alan"", ""label"": ""ACTOR-DIRECTOR""}]"
entertainment_383.txt_232,"He also cited the director's 2003 film The Life of David Gale, in which Kevin Spacey played a man on Death Row, as proof of his ""veritable artistic commitment against the death sentence"".","[{""text"": ""Kevin Spacey"", ""label"": ""ACTOR-DIRECTOR""}]"
entertainment_002.txt_0,Jarre joins fairytale celebration,"[{""text"": ""Jarre"", ""label"": ""MUSICIAN""}]"
entertainment_002.txt_155,Denmark's Crown Prince Frederik and Crown Princess Mary visited New York on Monday to help promote the festivities.,"[{""text"": ""Crown Prince Frederik"", ""label"": ""PUBLIC-FIGURE""}, {""text"": ""Crown Princess Mary"", ""label"": ""PUBLIC-FIGURE""}]"
entertainment_002.txt_263,"Later at a gala dinner, Danish supermodel Helena Christensen was named a Hans Christian Andersen ambassador.","[{""text"": ""Helena Christensen"", ""label"": ""PUBLIC-FIGURE""}, {""text"": ""Hans Christian Andersen"", ""label"": ""AUTHOR-WRITER""}]"
politics_056.txt_189,"The Muslim Council of Britain said Ofsted boss Mr Bell's comments were ""highly irresponsible"".","[{""text"": ""Bell"", ""label"": ""BUSINESS-EXECUTIVE-MANAGER""}]"
entertainment_097.txt_205,Fahrenheit 9/11 director Michael Moore dedicated his trophy to soldiers in Iraq.,"[{""text"": ""Michael Moore"", ""label"": ""ACTOR-DIRECTOR""}]"
business_064.txt_0,"Lufthansa may sue over Bush visit

German airline Lufthansa may sue federal agencies for damages after the arrival of US president George W Bush disrupted flights.","[{""text"": ""Bush"", ""label"": ""POLITICIAN""}, {""text"": ""George W Bush"", ""label"": ""POLITICIAN""}]"
business_064.txt_204,"Central to the problem was that instead of half an hour, the arrival of President Bush on the German leg of his European tour took the best part of an hour, Lufthansa said.","[{""text"": ""Bush"", ""label"": ""POLITICIAN""}]"
business_064.txt_263,The extra time taken by President Bush and his entourage meant that there was a knock-on effect that led to significant delays.,"[{""text"": ""Bush"", ""label"": ""POLITICIAN""}]"
business_434.txt_206,"

Mr Ali added his voice to those warning that aid pledges must be promptly delivered, saying the number of people at risk of poverty hinged on ""concerns over sanitation and health conditions, and other basic needs"" being ""properly and quickly addressed"".","[{""text"": ""Ali"", ""label"": ""PUBLIC-FIGURE""}]"
entertainment_013.txt_0,Levy takes Whitbread novel prize,"[{""text"": ""Levy"", ""label"": ""AUTHOR-WRITER""}]"
entertainment_013.txt_5,"

Orange Prize winner Andrea Levy has seen her book Small Island win the Whitbread Novel of the Year Award.","[{""text"": ""Andrea Levy"", ""label"": ""AUTHOR-WRITER""}]"
entertainment_013.txt_48,Geraldine McCaughrean has picked up the children's fiction award for the third time for Not the End of the World.,"[{""text"": ""Geraldine McCaughrean"", ""label"": ""AUTHOR-WRITER""}]"
entertainment_013.txt_177,One is a Jamaican who joined British troops to fight Hitler but finds life difficult out of uniform when he settles in London.,"[{""text"": ""Hitler"", ""label"": ""POLITICIAN""}]"
entertainment_013.txt_201,"The judges, who included authors Jenny Colgan and Amanda Craig, were full of praise for her writing.","[{""text"": ""Jenny Colgan"", ""label"": ""AUTHOR-WRITER""}, {""text"": ""Amanda Craig"", ""label"": ""AUTHOR-WRITER""}]"
entertainment_013.txt_259,"The first novel section was won by Susan Fletcher for Eve Green, beating the favourite Jonathan Strange and Mr Norrell by Susanna Clarke.","[{""text"": ""Susan Fletcher"", ""label"": ""AUTHOR-WRITER""}, {""text"": ""Eve Green"", ""label"": ""PUBLIC-FIGURE""}, {""text"": ""Jonathan Strange"", ""label"": ""PUBLIC-FIGURE""}, {""text"": ""Mr Norrell"", ""label"": ""PUBLIC-FIGURE""}, {""text"": ""Susanna Clarke"", ""label"": ""AUTHOR-WRITER""}]"
entertainment_013.txt_284,Fletcher has recently graduated from graduated from the University of East Anglia creative writing course.,"[{""text"": ""Fletcher"", ""label"": ""AUTHOR-WRITER""}]"
entertainment_013.txt_300,"Waterstone's fiction writer buyer Suzie Doore said: ""It is great to see Susan Fletcher win in the first novel category.","[{""text"": ""Suzie Doore"", ""label"": ""BUSINESS-EXECUTIVE-MANAGER""}, {""text"": ""Susan Fletcher"", ""label"": ""AUTHOR-WRITER""}]"
entertainment_013.txt_429,"Guy has published many histories, including Tudor England.","[{""text"": ""Guy"", ""label"": ""AUTHOR-WRITER""}]"
tech_297.txt_32,"Chief executive Steve Jobs showed off the new machine at his annual MacWorld speech, in San Francisco.","[{""text"": ""Steve Jobs"", ""label"": ""BUSINESS-EXECUTIVE-MANAGER""}]"
tech_297.txt_508,Mr Jobs told the delegates at MacWorld that iPod already had a 65% market share of all digital music players.,"[{""text"": ""Jobs"", ""label"": ""BUSINESS-EXECUTIVE-MANAGER""}]"
business_019.txt_26,Communications Minister Dayanidhi Maran said that there is a need to fund the fast-growing mobile market.,"[{""text"": ""Dayanidhi Maran"", ""label"": ""POLITICIAN""}]"
politics_262.txt_279,Mr Blair directly denied that quote on Wednesday.,"[{""text"": ""Blair"", ""label"": ""POLITICIAN""}]"
business_440.txt_209,"Treasury Secretary John Snow put a brave face on the news, saying it was a sign of strong economic expansion.","[{""text"": ""John Snow"", ""label"": ""POLITICIAN""}]"
tech_143.txt_120,One such avatar is Jeremiah.,[]
business_217.txt_359,"Vice-Prime Minister Oleg Rybachuk called on the EU to recognise the steps that Ukraine was taking, fearing that should the country not be rewarded for its efforts there may be a backlash against closer relations with Brussels.","[{""text"": ""Oleg Rybachuk"", ""label"": ""POLITICIAN""}]"
entertainment_016.txt_0,Arthur Hailey: King of the bestsellers,"[{""text"": ""Arthur Hailey"", ""label"": ""AUTHOR-WRITER""}]"
entertainment_016.txt_7,"

Novelist Arthur Hailey, who has died at the age of 84, was known for his bestselling page-turners exploring the inner workings of various industries, from the hotels to high finance.","[{""text"": ""Arthur Hailey"", ""label"": ""AUTHOR-WRITER""}]"
entertainment_016.txt_271,"Hailey worked as a screenwriter for a couple of years, before turning to novels.","[{""text"": ""Hailey"", ""label"": ""AUTHOR-WRITER""}]"
entertainment_016.txt_308,"Flight into Danger was adapted to become Hailey's first novel, Runaway Zero-Eight in 1958.","[{""text"": ""Hailey"", ""label"": ""AUTHOR-WRITER""}]"
entertainment_016.txt_670,"The 1997 novel Detective proved to be Hailey's final book, when at the age of 77 he decided to retire.","[{""text"": ""Hailey"", ""label"": ""AUTHOR-WRITER""}]"
tech_184.txt_103,"And I can spend the day working with my girlfriend Anne, a children's writer, at her house in Cambridge, sharing her wireless network.","[{""text"": ""Anne"", ""label"": ""AUTHOR-WRITER""}]"
tech_184.txt_880,Just ask Anne.,[]
politics_267.txt_621,"I think UKIP had a huge amount to do with Tony Blair's decision to hold a referendum on the European constitution and I think it had a huge amount to do with his refusal to go into the euro"".","[{""text"": ""Tony Blair"", ""label"": ""POLITICIAN""}]"
entertainment_044.txt_294,Davis was also a prominent figure in the civil rights movement and was a voice for racial equality.,"[{""text"": ""Davis"", ""label"": ""PUBLIC-FIGURE""}]"
entertainment_044.txt_313,He was a featured speaker at the funerals of both Martin Luther King Jnr and Malcolm X.,"[{""text"": ""Martin Luther King Jnr"", ""label"": ""PUBLIC-FIGURE""}, {""text"": ""Malcolm X"", ""label"": ""PUBLIC-FIGURE""}]"
politics_318.txt_40,"Local councillor Lyn Brown was selected for West Ham, east London, in a contest between two white and five ethnic minority women.","[{""text"": ""Lyn Brown"", ""label"": ""POLITICIAN""}]"
entertainment_190.txt_0,Veteran comic Cyril Fletcher dies,"[{""text"": ""Cyril Fletcher"", ""label"": ""ACTOR-DIRECTOR""}]"
entertainment_119.txt_33,"He started out as a singer and songwriter before going into music management, looking after country star Hank Williams Jr.","[{""text"": ""Hank Williams Jr"", ""label"": ""MUSICIAN""}]"
entertainment_119.txt_54,"He wrote Ring of Fire with June Carter Cash, the future wife of Johnny Cash who went on to score his most popular hit with the track.","[{""text"": ""June Carter Cash"", ""label"": ""MUSICIAN""}, {""text"": ""Johnny Cash"", ""label"": ""MUSICIAN""}]"
entertainment_119.txt_126,"One of the first songs he wrote for other artists was Wolverton Mountain, which sold 10 million copies when recorded by Claude King.","[{""text"": ""Claude King"", ""label"": ""MUSICIAN""}]"
tech_180.txt_31,"Ellen Simonetti, known as Queen of the Sky, wrote an anonymous semi-fictional account of her life in the sky.","[{""text"": ""Ellen Simonetti"", ""label"": ""AUTHOR-WRITER""}]"
entertainment_087.txt_87,Howl's Moving Castle is based on a children's fantasy novel by UK author Diana Wynne Jones.,"[{""text"": ""Diana Wynne Jones"", ""label"": ""AUTHOR-WRITER""}]"
sport_071.txt_208,The Middlesbrough athlete jumped a season's best of 7.95m at the Birmingham Grand Prix - good enough to push world indoor champion Savante Stringfellow into second.,"[{""text"": ""Savante Stringfellow"", ""label"": ""ATHLETE""}]"
sport_025.txt_0,El Guerrouj targets cross country,"[{""text"": ""El Guerrouj"", ""label"": ""ATHLETE""}]"
politics_024.txt_0,Brown visits slum on Africa trip,"[{""text"": ""Brown"", ""label"": ""POLITICIAN""}]"
politics_024.txt_28,Mr Brown's trip is designed to highlight how the UK wants to make Africa's problems a priority of its chairmanship of the G8 this year.,"[{""text"": ""Brown"", ""label"": ""POLITICIAN""}]"
politics_024.txt_192,"Brown's aides say he wants to find out more about the Kenyan Government's education policies, which included introducing free primary education in early 2003.","[{""text"": ""Brown"", ""label"": ""POLITICIAN""}]"
politics_029.txt_422,Shadow foreign secretary Michael Ancram said there was a constant need to ensure value for money from foreign missions.,"[{""text"": ""Michael Ancram"", ""label"": ""POLITICIAN""}]"
entertainment_242.txt_77,The show used Presley photos last week.,"[{""text"": ""Presley"", ""label"": ""MUSICIAN""}]"
politics_082.txt_37,Shadow foreign secretary Michael Ancram told MPs a new White Paper was part of trying to soften up opinion ahead of the referendum on the EU constitution.,"[{""text"": ""Michael Ancram"", ""label"": ""POLITICIAN""}]"
politics_402.txt_0,Brown's poll campaign move denied,"[{""text"": ""Brown"", ""label"": ""POLITICIAN""}]"
sport_254.txt_443,"He said: ""Like Kevin I'd like to see some players come in.","[{""text"": ""Kevin"", ""label"": ""ATHLETE""}]"
entertainment_246.txt_97,"Sizzla, whose real name is Miguel Collins, has released 25 albums since 1995 and is credited with taking dancehall music back to its reggae origins.","[{""text"": ""Sizzla"", ""label"": ""MUSICIAN""}, {""text"": ""Miguel Collins"", ""label"": ""MUSICIAN""}]"
entertainment_200.txt_81,"Model Sophie Anderton was the last person to be voted off the ITV1 show, set in the Australian jungle.","[{""text"": ""Sophie Anderton"", ""label"": ""PUBLIC-FIGURE""}]"
entertainment_200.txt_183,And on 26 November singer Brian Harvey quit as a contestant after he had a blazing row with Janet Street-Porter.,"[{""text"": ""Brian Harvey"", ""label"": ""MUSICIAN""}, {""text"": ""Janet Street-Porter"", ""label"": ""AUTHOR-WRITER""}]"
sport_150.txt_143,"Robbie Keane, skipper for the night and scorer of the crucial second goal, echoed his manager's sentiments on the last-eight match.","[{""text"": ""Robbie Keane"", ""label"": ""ATHLETE""}]"
sport_337.txt_0,Prop Jones ready for hard graft,"[{""text"": ""Jones"", ""label"": ""ATHLETE""}]"
politics_252.txt_0,Blair 'said he would stand down',"[{""text"": ""Blair"", ""label"": ""POLITICIAN""}]"
entertainment_376.txt_0,"France set for new Da Vinci novel

French booksellers are braced for a rush of interest after another book from the author of The Da Vinci Code is translated into French.",[]
entertainment_376.txt_34,"Angels and Demons, by US author Dan Brown, will go on sale on Wednesday.","[{""text"": ""Dan Brown"", ""label"": ""AUTHOR-WRITER""}]"
sport_291.txt_0,Thomas out of Six Nations,"[{""text"": ""Thomas"", ""label"": ""ATHLETE""}]"
politics_225.txt_0,Blair to face MPs amid feud talk,"[{""text"": ""Blair"", ""label"": ""POLITICIAN""}]"
politics_225.txt_216,"Mr Brown, meanwhile, is visiting Tanzania, Mozambique and Kenya to highlight the plight of many Africans hit by Aids, war and famine - issues which Mr Blair has also spoken out on.","[{""text"": ""Brown"", ""label"": ""POLITICIAN""}, {""text"": ""Blair"", ""label"": ""POLITICIAN""}]"
sport_068.txt_653,Pole vault: N Buckfield (Crawley AC),"[{""text"": ""N Buckfield"", ""label"": ""ATHLETE""}]"
sport_402.txt_178,"Wallabies captain George Gregan said the charity match was a ""great initiative"".","[{""text"": ""George Gregan"", ""label"": ""ATHLETE""}]"
entertainment_277.txt_246,"Maria, the novice nun who falls in love with Baron von Trapp, will be played by Austro-Australian actress and singer Sandra Pires.","[{""text"": ""Maria"", ""label"": ""PUBLIC-FIGURE""}, {""text"": ""Baron von Trapp"", ""label"": ""PUBLIC-FIGURE""}, {""text"": ""Sandra Pires"", ""label"": ""ACTOR-DIRECTOR""}]"
entertainment_360.txt_0,Lopez misses UK charity premiere,"[{""text"": ""Lopez"", ""label"": ""ACTOR-DIRECTOR""}]"
entertainment_360.txt_5,"

Jennifer Lopez cancelled an appearance at the UK charity premiere of her new movie saying she was too ill to fly.","[{""text"": ""Jennifer Lopez"", ""label"": ""ACTOR-DIRECTOR""}]"
entertainment_360.txt_90,Co-star Richard Gere attended the event held in aid of the tsunami appeal.,"[{""text"": ""Richard Gere"", ""label"": ""ACTOR-DIRECTOR""}]"
entertainment_074.txt_234,"Soderbergh returns to direct the hit sequel which reunites Clooney, Pitt and Roberts with Matt Damon, Andy Garcia and Elliott Gould.","[{""text"": ""Soderbergh"", ""label"": ""ACTOR-DIRECTOR""}, {""text"": ""Clooney"", ""label"": ""ACTOR-DIRECTOR""}, {""text"": ""Pitt"", ""label"": ""ACTOR-DIRECTOR""}, {""text"": ""Roberts"", ""label"": ""ACTOR-DIRECTOR""}, {""text"": ""Matt Damon"", ""label"": ""ACTOR-DIRECTOR""}, {""text"": ""Andy Garcia"", ""label"": ""ACTOR-DIRECTOR""}, {""text"": ""Elliott Gould"", ""label"": ""ACTOR-DIRECTOR""}]"
politics_383.txt_38,Shadow foreign secretary Michael Ancram told MPs a new White Paper was part of trying to soften up opinion ahead of the referendum on the EU constitution.,"[{""text"": ""Michael Ancram"", ""label"": ""POLITICIAN""}]"
politics_158.txt_250,In 2000 the People's Fuel Lobby caused chaos by blocking roads with slow-moving convoys after Mr Brown threatened to raise fuel taxes.,"[{""text"": ""Brown"", ""label"": ""POLITICIAN""}]"
politics_281.txt_8,"

Ex-chat show host Robert Kilroy-Silk has quit the UK Independence Party and accused it of betraying its supporters.","[{""text"": ""Robert Kilroy-Silk"", ""label"": ""POLITICIAN""}]"
politics_392.txt_76,"South African president Thabo Mbeki has attacked British imperialists, saying they treated Africans like savages.","[{""text"": ""Thabo Mbeki"", ""label"": ""POLITICIAN""}]"
sport_409.txt_0,O'Connell rejects Lions rumours,"[{""text"": ""O'Connell"", ""label"": ""ATHLETE""}]"
sport_409.txt_159,"O'Connell, who made a try-scoring international debut against Wales two years ago, is enjoying his meteoric rise into rugby's shop window - but refuses to be drawn on the Lions.","[{""text"": ""O'Connell"", ""label"": ""ATHLETE""}]"
entertainment_378.txt_0,Halloween writer Debra Hill dies,"[{""text"": ""Debra Hill"", ""label"": ""AUTHOR-WRITER""}]"
entertainment_378.txt_62,"Directed by John Carpenter, it made over $60m (£31.3m) worldwide - a record for independent film at that time.","[{""text"": ""John Carpenter"", ""label"": ""ACTOR-DIRECTOR""}]"
sport_329.txt_34,"But Umaga, in England for Saturday's IRB Rugby Aid match, also backed New Zealand to win the three-Test series against the Lions.","[{""text"": ""Umaga"", ""label"": ""ATHLETE""}]"
politics_198.txt_144,Among those who have criticised the plans are the UK's top policeman Sir John Stevens.,"[{""text"": ""John Stevens"", ""label"": ""PUBLIC-FIGURE""}]"
entertainment_054.txt_93,"

Black Friday is based upon the novel of the same name written by journalist S Hussain Zaidi, which looks at the 15 explosions which rocked Mumbai on 12 March 1993.","[{""text"": ""S Hussain Zaidi"", ""label"": ""AUTHOR-WRITER""}]"
politics_186.txt_0,"Blair says mayor should apologise

Tony Blair has urged London mayor Ken Livingstone to apologise for his ""Nazi"" comment to a Jewish reporter.

Labour's Mr Livingstone, who says he is ""standing by"" his remarks, had accused an Evening Standard journalist of being like a ""concentration camp guard"".","[{""text"": ""Blair"", ""label"": ""POLITICIAN""}, {""text"": ""Tony Blair"", ""label"": ""POLITICIAN""}, {""text"": ""Ken Livingstone"", ""label"": ""POLITICIAN""}, {""text"": ""Livingstone"", ""label"": ""POLITICIAN""}]"
politics_186.txt_347,"On tape, Mr Livingstone, who once worked as a freelance restaurant critic on the paper, is heard asking reporter Oliver Finegold if he is a ""German war criminal"".","[{""text"": ""Livingstone"", ""label"": ""POLITICIAN""}, {""text"": ""Oliver Finegold"", ""label"": ""AUTHOR-WRITER""}]"
politics_186.txt_381,"Mr Finegold replies: ""No, I'm Jewish, I wasn't a German war criminal.","[{""text"": ""Finegold"", ""label"": ""AUTHOR-WRITER""}]"
politics_186.txt_541,It has the power to suspend or bar Mr Livingstone from public office.,"[{""text"": ""Livingstone"", ""label"": ""POLITICIAN""}]"
entertainment_062.txt_142,Moreno is also nominated for best actress at the Oscars.,"[{""text"": ""Moreno"", ""label"": ""ACTOR-DIRECTOR""}]"
entertainment_062.txt_219,Actor Rodrigo de la Serna took the best debut performance prize for The Motorcycle Diaries.,"[{""text"": ""Rodrigo de la Serna"", ""label"": ""ACTOR-DIRECTOR""}]"
entertainment_062.txt_265,"Last year's big winner, Lost In Translation, went on to win the Oscar for best original screenplay, for writer-director Sofia Coppola.","[{""text"": ""Sofia Coppola"", ""label"": ""ACTOR-DIRECTOR""}]"
tech_102.txt_30,"Queen of the Sky, otherwise known as Ellen Simonetti, evolved into an anonymous semi-fictional account of life in the sky.","[{""text"": ""Ellen Simonetti"", ""label"": ""AUTHOR-WRITER""}]"
tech_102.txt_246,Ms Simonetti started her personal blog in January to help her get over her mother's death.,"[{""text"": ""Simonetti"", ""label"": ""AUTHOR-WRITER""}]"
sport_024.txt_6,"

Susan Chepkemei has decided she is fit enough to run in next month's Great Edinburgh International Cross Country.","[{""text"": ""Susan Chepkemei"", ""label"": ""ATHLETE""}]"
politics_135.txt_507,Foreign Secretary Jack Straw is to visit Thailand and Indonesia this week.,"[{""text"": ""Jack Straw"", ""label"": ""POLITICIAN""}]"
politics_135.txt_565,"International Development Secretary Hilary Benn will also visit Aceh in Indonesia, as well as Sri Lanka.","[{""text"": ""Hilary Benn"", ""label"": ""POLITICIAN""}]"
politics_106.txt_57,Mr Howard is expected to tell activists in Kent that voters' tolerance and desire to help others are being abused.,"[{""text"": ""Howard"", ""label"": ""POLITICIAN""}]"
politics_106.txt_95,"

Mr Howard said Britain should take its fair share of the world's ""genuine refugees"".

""","[{""text"": ""Howard"", ""label"": ""POLITICIAN""}]"
politics_106.txt_558,"On Monday, Mr Howard said: ""It's not racist, as some people to claim, to talk about controlling immigration far from it.""","[{""text"": ""Howard"", ""label"": ""POLITICIAN""}]"
sport_343.txt_51,Robinson may even have to apologise for his comments in order to avoid sanction from the International Rugby Board.,"[{""text"": ""Robinson"", ""label"": ""ATHLETE""}]"
entertainment_233.txt_0,Elvis fans hold birthday bash,"[{""text"": ""Elvis"", ""label"": ""MUSICIAN""}]"
entertainment_060.txt_164,"Based on the cult children's books by author Daniel Handler, the film follows three children who are orphaned when their parents die in a fire.","[{""text"": ""Daniel Handler"", ""label"": ""AUTHOR-WRITER""}]"
politics_259.txt_638,"Irfan Hanif, a 25-year-old doctor from Bolton, made a good impression, even if he was a little thrown by Mr MacKenzie's suggestion that instead of being treated by the NHS, young drunks should ""given a good beating"" and left to die.","[{""text"": ""Irfan Hanif"", ""label"": ""PUBLIC-FIGURE""}, {""text"": ""MacKenzie"", ""label"": ""PUBLIC-FIGURE""}]"
sport_110.txt_0,Kenyon denies Robben Barca return,"[{""text"": ""Kenyon"", ""label"": ""BUSINESS-EXECUTIVE-MANAGER""}, {""text"": ""Robben"", ""label"": ""ATHLETE""}]"
tech_375.txt_104,"Jemima Khan reportedly left her iPod, phone and purse in a cab and asked for them to be returned to her friend who turned out to be Hugh Grant.","[{""text"": ""Jemima Khan"", ""label"": ""PUBLIC-FIGURE""}, {""text"": ""Hugh Grant"", ""label"": ""ACTOR-DIRECTOR""}]"
entertainment_324.txt_32,"The Colombian-born actress was the final hope for director Joshua Marston, who scoured the US and Colombia for a lead for Maria Full of Grace.","[{""text"": ""Joshua Marston"", ""label"": ""ACTOR-DIRECTOR""}]"
entertainment_324.txt_192,Sandino Moreno is now being regarded as one of the most promising actresses around at the moment.,"[{""text"": ""Sandino Moreno"", ""label"": ""ACTOR-DIRECTOR""}]"
politics_253.txt_493,"These rumours were fuelled by Mr Blair's decision to hold his monthly media conference at the same time as a long-planned speech by Mr Brown on UK plans to tackle global poverty with a new ""Marshall Plan"" for Africa.","[{""text"": ""Blair"", ""label"": ""POLITICIAN""}, {""text"": ""Brown"", ""label"": ""POLITICIAN""}]"
sport_478.txt_0,Clijsters hope on Aussie Open,"[{""text"": ""Clijsters"", ""label"": ""ATHLETE""}]"
politics_126.txt_0,End Bush 'denial' Blair tells EU,"[{""text"": ""Bush"", ""label"": ""POLITICIAN""}, {""text"": ""Blair"", ""label"": ""POLITICIAN""}]"
politics_126.txt_64,"Mr Blair is at a summit in Brussels, where Iraq and European justice and immigration plans are on the agenda.","[{""text"": ""Blair"", ""label"": ""POLITICIAN""}]"
politics_126.txt_105,Mr Blair has probably been closer to President Bush than any other European leader.,"[{""text"": ""Blair"", ""label"": ""POLITICIAN""}, {""text"": ""Bush"", ""label"": ""POLITICIAN""}]"
politics_126.txt_164,"""The fact is that President Bush is there for four years.","[{""text"": ""Bush"", ""label"": ""POLITICIAN""}]"
politics_126.txt_287,His words about President Bush met a cool reception from Jacques Chirac.,"[{""text"": ""Bush"", ""label"": ""POLITICIAN""}, {""text"": ""Jacques Chirac"", ""label"": ""POLITICIAN""}]"
business_002.txt_0,Dollar gains on Greenspan speech,"[{""text"": ""Greenspan"", ""label"": ""POLITICIAN""}]"
politics_212.txt_102,"The strategist helped Australia's PM, John Howard, win four elections.","[{""text"": ""John Howard"", ""label"": ""POLITICIAN""}]"
entertainment_014.txt_154,"Fergus Crane includes text by Stewart and illustrations by Riddell, who also created The Edge Chronicles together.","[{""text"": ""Fergus Crane"", ""label"": ""AUTHOR-WRITER""}, {""text"": ""Stewart"", ""label"": ""AUTHOR-WRITER""}, {""text"": ""Riddell"", ""label"": ""AUTHOR-WRITER""}]"
entertainment_014.txt_279,"Previous winners have included JK Rowling, Jacqueline Wilson and Dick King-Smith.","[{""text"": ""JK Rowling"", ""label"": ""AUTHOR-WRITER""}, {""text"": ""Jacqueline Wilson"", ""label"": ""AUTHOR-WRITER""}, {""text"": ""Dick King-Smith"", ""label"": ""AUTHOR-WRITER""}]"
entertainment_199.txt_81,Stern recently announced he was leaving Viacom while the two DJs were sacked after their show featured a couple purporting to have sex in a church.,"[{""text"": ""Stern"", ""label"": ""PUBLIC-FIGURE""}]"
politics_013.txt_0,Howard rebuts asylum criticisms,"[{""text"": ""Howard"", ""label"": ""POLITICIAN""}]"
politics_013.txt_76,"TV presenter Anne Robinson said as home secretary he gave the impression he would ""like to kick your cat"".","[{""text"": ""Anne Robinson"", ""label"": ""ACTOR-DIRECTOR""}]"
sport_470.txt_0,Moya emotional after Davis Cup win,"[{""text"": ""Moya"", ""label"": ""ATHLETE""}]"
entertainment_083.txt_107,"Oliver Stone's big-budget epic Alexander, starring Colin Farrell, followed last week's disappointing sixth-place opening with a slump to seventh place and takings of $4.7m (£2.4m).","[{""text"": ""Oliver Stone"", ""label"": ""ACTOR-DIRECTOR""}, {""text"": ""Colin Farrell"", ""label"": ""ACTOR-DIRECTOR""}]"
entertainment_083.txt_192,"It is Cage's fourth collaboration with Jerry Bruckheimer, who is usually noted for his male-orientated action films.","[{""text"": ""Cage"", ""label"": ""ACTOR-DIRECTOR""}, {""text"": ""Jerry Bruckheimer"", ""label"": ""BUSINESS-EXECUTIVE-MANAGER""}]"
entertainment_085.txt_177,Catholics have urged Mr Pande to withdraw the film to show respect to the Christian community's hurt sentiments.,"[{""text"": ""Pande"", ""label"": ""PUBLIC-FIGURE""}]"
politics_246.txt_450,"The Higher Education Minister, Kim Howells, said: ""We are working in schools to raise the attainment and aspiration of young people in disadvantaged areas.""","[{""text"": ""Kim Howells"", ""label"": ""POLITICIAN""}]"
entertainment_204.txt_0,"No charges against TV's Cosby

US comedian Bill Cosby will not face charges stemming from an allegation of sexual misconduct.","[{""text"": ""Cosby"", ""label"": ""ACTOR-DIRECTOR""}, {""text"": ""Bill Cosby"", ""label"": ""ACTOR-DIRECTOR""}]"
entertainment_204.txt_235,Cosby emerged as one of the first black comics to have mainstream success in the US.,"[{""text"": ""Cosby"", ""label"": ""ACTOR-DIRECTOR""}]"
sport_233.txt_55,"Redknapp, 57, quit his Fratton Park position on 24 November and vowed: ""I will not go down the road - no chance.""","[{""text"": ""Redknapp"", ""label"": ""ATHLETE""}]"
politics_336.txt_306,"Stephen Douglas, 26, from Wales, said after the PM's speech on Sunday: ""I think it was a bit of a turning point, given the roasting he has had on some issues.","[{""text"": ""Stephen Douglas"", ""label"": ""PUBLIC-FIGURE""}]"
politics_336.txt_653,"A group of shop stewards from the Swan Hunter shipyard, who said they were facing redundancy, could barely suppress their anger at Mr Blair's failure to, as they saw it, shake off his Tory leanings and stand up for manufacturing in the North East.","[{""text"": ""Blair"", ""label"": ""POLITICIAN""}]"
politics_400.txt_80,"Prime Minister Tony Blair called him a ""giant"" of the Labour movement.","[{""text"": ""Tony Blair"", ""label"": ""POLITICIAN""}]"
politics_400.txt_126,"Chancellor Gordon Brown said the former PM would be ""mourned throughout the world"".","[{""text"": ""Gordon Brown"", ""label"": ""POLITICIAN""}]"
